"icao","iata","name","city","subd","country","elevation","lat","lon","tz","lid"
"07FA","OCA","Ocean Reef Club Airport","Key Largo","Florida","US","6","25.32432","-80.27573","America/New_York","07FA"
"0AA1","CYT","Yakataga Airport","Yakataga","Alaska","US","16","60.08085","-142.49548","America/Anchorage","0AA1"
"0AA4","FWL","Farewell Airport","Farewell","Alaska","US","1535","62.50918","-153.89062","America/Anchorage","0AA4"
"0CO2","CSE","Crested Butte Airpark","Crested Butte","Colorado","US","8980","38.85194","-106.93282","America/Denver","0CO2"
"0NM0","CUS","Columbus Municipal Airport","Columbus","New Mexico","US","4024","31.82371","-107.62697","America/Denver","0NM0"
"0TE7","JCY","Lbj Ranch Airport","Johnson City","Texas","US","1515","30.25181","-98.62253","America/Chicago","0TE7"
"HAAM","AMH","Arba Minch Airport","","SNNPR","ET","3901","6.03939","37.5905","Africa/Addis_Ababa",""
"19AK","ICY","Icy Bay Airport","Icy Bay","Alaska","US","50","59.96902","-141.66177","America/Anchorage","19AK"
"HAAX","AXU","Axum Airport","","Tigray","ET","6959","14.1468","38.7728","Africa/Addis_Ababa",""
"2AK6","HGZ","Hog River Airport","Hogatza","Alaska","US","534","66.17613","-155.68481","America/Anchorage","2AK6"
"HABC","BCO","Baco Airport","Baco","","ET","0","5.78287","36.562","Africa/Addis_Ababa",""
"2LA8","GWV","Fokker Field","Bush","Louisiana","US","50","30.59317","-89.87348","America/Chicago","2LA8"
"2TE0","BZT","Eagle Air Park","Brazoria","Texas","US","15","28.98219","-95.57967","America/Chicago","2TE0"
"38WA","BYW","Blakely Island Airport","Blakely Island","Washington","US","66","48.57899","-122.82629","America/Los_Angeles","38WA"
"3AK5","DRF","Drift River Airport","Kenai","Alaska","US","30","60.58887","-152.16199","America/Anchorage","3AK5"
"3IS8","BDF","Rinkenberger Airport","Bradford","Illinois","US","808","41.23087","-89.61565","America/Chicago","3IS8"
"3NY8","CTO","Calverton Executive Airpark","Calverton","New York","US","75.2","40.9","-72.8","America/New_York","3NY8"
"5MS1","RFK","Rollang Field","Rolling Fork","Mississippi","US","106","32.95429","-90.84593","America/Chicago","5MS1"
"65LA","BCS","Southern Seaplane Airport","Belle Chasse","Louisiana","US","0","29.86604","-90.02229","America/Chicago","65LA"
"78WA","CWS","Center Island Airport","Center Island","Washington","US","115","48.4901","-122.83212","America/Los_Angeles","78WA"
"7NC2","DUF","Pine Island Airport","Corolla","North Carolina","US","16","36.2535","-75.78852","America/New_York","7NC2"
"7WA5","SSW","Stuart Island Airpark","Stuart Island","Washington","US","10","48.67288","-123.17575","America/Los_Angeles","7WA5"
"82CL","FOB","Fort Bragg Airport","Fort Bragg","California","US","71","39.47433","-123.79557","America/Los_Angeles","82CL"
"84NE","MHN","Hooker County Airport","Mullen","Nebraska","US","3240","42.04216","-101.05966","America/Chicago","84NE"
"89NY","AXB","Maxson Airfield","Alexandria Bay","New York","US","340","44.31672","-75.89967","America/New_York","89NY"
"8XS8","REE","Reese Airpark","Lubbock","Texas","US","3338","33.59476","-102.04342","America/Chicago","8XS8"
"AGAF","AFT","Afutara Aerodrome","Bila","Malaita","SB","23","-9.19139","160.94861","Pacific/Guadalcanal",""
"AGAR","RNA","Ulawa Airport","Arona","","SB","40","-9.86054","161.97955","Pacific/Guadalcanal",""
"AGAT","ATD","Uru Harbour Airport","Atoifi","","SB","0","-8.87333","161.011","Pacific/Guadalcanal",""
"AGBA","VEV","Barakoma Airport","Barakoma","","SB","0","-7.91278","156.706","Pacific/Guadalcanal",""
"AGBT","BPF","Batuna Aerodrome","Batuna Mission Station","Western Province","SB","24","-8.56203","158.11931","Pacific/Guadalcanal",""
"AGEV","GEF","Geva Airport","Liangia","","SB","0","-7.57583","156.597","Pacific/Guadalcanal",""
"AGGA","AKS","Auki Airport","Auki","","SB","5","-8.70257","160.682","Pacific/Guadalcanal",""
"AGGB","BNY","Bellona/Anua Airport","Anua","","SB","60","-11.30222","159.79832","Pacific/Guadalcanal",""
"AGGC","CHY","Choiseul Bay Airport","","Choiseul","SB","0","-6.71194","156.3961","Pacific/Guadalcanal",""
"AGGE","BAS","Ballalae Airport","Ballalae","","SB","5","-6.99075","155.88666","Pacific/Guadalcanal",""
"AGGF","FRE","Fera/Maringe Airport","Fera Island","Isabel","SB","0","-8.1075","159.577","Pacific/Guadalcanal",""
"AGGH","HIR","Honiara International Airport","Honiara","Guadalcanal","SB","28","-9.428","160.055","Pacific/Guadalcanal",""
"AGGI","MBU","Babanakira Airport","Mbambanakira","Guadalcanal","SB","0","-9.7475","159.839","Pacific/Guadalcanal",""
"AGGJ","AVU","Avu Avu Airport","","Guadalcanal","SB","25","-9.86833","160.41055","Pacific/Guadalcanal",""
"AGGK","IRA","Ngorangora Airport","Kirakira","","SB","0","-10.4497","161.898","Pacific/Guadalcanal",""
"AGGL","SCZ","Santa Cruz/Graciosa Bay/Luova Airport","Santa Cruz/Graciosa Bay/Luova","Temotu","SB","18","-10.7203","165.795","Pacific/Guadalcanal",""
"AGGM","MUA","Munda Airport","","","SB","10","-8.32797","157.263","Pacific/Guadalcanal",""
"AGGN","GZO","Nusatupe Airport","Gizo","","SB","13","-8.09778","156.864","Pacific/Guadalcanal",""
"AGGO","MNY","Mono Airport","Stirling Island","","SB","0","-7.41694","155.565","Pacific/Guadalcanal",""
"AGGP","PRS","Parasi Airport","Parasi","","SB","0","-9.64167","161.425","Pacific/Guadalcanal",""
"AGGR","RNL","Rennell/Tingoa Airport","Rennell Island","Rennell and Bellona","SB","0","-11.5339","160.063","Pacific/Guadalcanal",""
"AGGS","EGM","Sege Airport","Sege","","SB","0","-8.57889","157.876","Pacific/Guadalcanal",""
"AGGT","NNB","Santa Ana Airport","Santa Ana Island","","SB","3","-10.84799","162.45412","Pacific/Guadalcanal",""
"AGGU","RUS","Marau Airport","Marau","","SB","0","-9.86167","160.825","Pacific/Guadalcanal",""
"AGGV","VAO","Suavanao Airport","Suavanao","","SB","0","-7.58556","158.731","Pacific/Guadalcanal",""
"AGGY","XYA","Yandina Airport","Yandina","","SB","60","-9.09282","159.21841","Pacific/Guadalcanal",""
"AGKG","KGE","Kagau Island Airport","Kagau Island","","SB","0","-7.333","157.583","Pacific/Guadalcanal",""
"AGKW","KWS","Kwailabesi Airport","Kwailabesi","","SB","26","-8.36051","160.77513","Pacific/Guadalcanal",""
"AGOK","GTA","Gatokae Airport","Gatokae","","SB","70","-8.73917","158.20306","Pacific/Guadalcanal",""
"AGRC","RIN","Ringi Cove Airport","Ringi Cove","","SB","0","-8.12639","157.143","Pacific/Guadalcanal",""
"AGRM","RBV","Ramata Airport","Ramata","","SB","0","-8.16806","157.643","Pacific/Guadalcanal",""
"AK13","CEX","Chena Hot Springs Airport","Chena Hot Springs","Alaska","US","1195","65.05183","-146.04742","America/Anchorage","AK13"
"AK26","SOL","Solomon State Field","Solomon","Alaska","US","25","64.56064","-164.44234","America/Nome","AK26"
"AK33","HED","Herendeen Bay Airport","Herendeen Bay","Alaska","US","20","55.80139","-160.89925","America/Anchorage","AK33"
"AK49","TWE","Taylor Airport","Taylor","Alaska","US","440","65.67928","-164.79881","America/Nome","AK49"
"AK71","LNI","Lonely Air Station","Lonely","Alaska","US","17","70.91075","-153.2422","America/Anchorage","AK71"
"AK75","CDL","Candle 2 Airport","Candle","Alaska","US","15","65.90766","-161.92632","America/Anchorage","AK75"
"AK97","BSW","Boswell Bay Airport","Boswell Bay","Alaska","US","230","60.42306","-146.1459","America/Anchorage","AK97"
"ANYN","INU","Nauru International Airport","Yaren District","Yaren","NR","22","-0.54746","166.919","Pacific/Nauru",""
"AYAI","ATP","Aitape Airport","Aitape","Sandaun","PG","10","-3.14361","142.34682","Pacific/Port_Moresby",""
"AYAM","AMU","Amanab Airport","Amanab","Sandaun","PG","1307","-3.586","141.21432","Pacific/Port_Moresby",""
"AYAN","ADC","Andakombe Airport","Andekombe","Gulf","PG","3600","-7.13722","145.74472","Pacific/Port_Moresby",""
"AYAO","AIE","Aiome Airport","Aiome","Madang","PG","350","-5.1457","144.7307","Pacific/Port_Moresby",""
"AYAQ","KPM","Kompiam Airport","","Enga","PG","5100","-5.38167","143.92471","Pacific/Port_Moresby",""
"AYAT","AUJ","Ambunti Airport","Ambunti","East Sepik","PG","50","-4.21567","142.82317","Pacific/Port_Moresby",""
"AYAW","AWB","Awaba Airport","Awaba","Western Province","PG","32","-8.00611","142.74835","Pacific/Port_Moresby",""
"AYAY","AYU","Aiyura Airport","Aiyura Valley","Eastern Highlands","PG","5355","-6.33806","145.90417","Pacific/Port_Moresby",""
"AYBA","VMU","Baimuru Airport","Baimuru","Gulf","PG","27","-7.49686","144.8199","Pacific/Port_Moresby",""
"AYBG","BDZ","Baindoung Airport","","Morobe","PG","4400","-6.34722","146.94221","Pacific/Port_Moresby",""
"AYBK","BUA","Buka Airport","Buka Island","Bougainville","PG","11","-5.42232","154.673","Pacific/Port_Moresby",""
"AYBM","OPU","Balimo Airport","Balimo","Western Province","PG","51","-8.05","142.933","Pacific/Port_Moresby",""
"AYBU","BUL","Bulolo Airport","Bulolo","Morobe","PG","2240","-7.21629","146.64954","Pacific/Port_Moresby",""
"AYCH","CMU","Chimbu Airport","Kundiawa","Chimbu","PG","4974","-6.02429","144.971","Pacific/Port_Moresby",""
"AYDE","DER","Derim Airport","Derim","Morobe","PG","4850","-6.14472","147.10722","Pacific/Port_Moresby",""
